# from http://www.legislation.gov.uk/uksi/2014/270/schedule/made,,,,,
District,District GSS Code,Electoral area,Electoral area GSS code,Ward,Ward GSS code
,,,,Lisnagarvey,N08000729
,,,,Old Warren,N08000736
,,Downshire East,N10000703,Ballymacbrennan,N08000704
,,,,Dromara,N08000713
,,,,Drumbo,N08000714
,,,,Hillhall,N08000722
,,,,Ravernet,N08000737
,,Downshire West,N10000704,Blaris,N08000707
,,,,Hillsborough,N08000723
,,,,Lagan,N08000726
,,,,Maze,N08000732
,,,,Moira,N08000733
,,Lisburn North,N10000706,Derryaghy,N08000712
,,,,Harmony Hill,N08000720
,,,,Hilden,N08000721
,,,,Lambeg,N08000728
,,,,Magheralave,N08000731
,,,,Wallace Park,N08000739
,,Castlereagh South,N10000702,Beechill,N08000706
,,,,Cairnshill,N08000708
,,,,Carryduff East,N08000710
,,,,Carryduff West,N08000711
,,,,Galwally,N08000717
,,,,Knockbracken,N08000724
,,,,Newtownbreda,N08000735
,,Castlereagh East,N10000701,Ballyhanwood,N08000702
,,,,Carrowreagh,N08000709
,,,,Dundonald,N08000715
,,,,Enler,N08000716
,,,,Graham’s Bridge,N08000719
,,,,Moneyreagh,N08000734
Mid and East Antrim,N09000008,Knockagh,N10000806,Burleigh Hill,N08000810
,,,,Gortalee,N08000823
,,,,Greenisland,N08000825
,,,,Sunnylands,N08000836
,,,,Woodburn,N08000840
,,Carrick Castle,N10000804,Boneybefore,N08000807
,,,,Castle,N08000813
,,,,Kilroot,N08000828
,,,,Love Lane,N08000831
,,,,Victoria,N08000838
,,Larne Lough,N10000807,Ballycarry and Glynn,N08000805
,,,,Curran and Inver,N08000817
,,,,Islandmagee,N08000826
,,,,Kilwaughter,N08000829
,,,,Whitehead South,N08000839
,,Coast Road,N10000805,Cairncastle,N08000811
,,,,Carnlough and Glenarm,N08000812
,,,,Craigyhill,N08000815
,,,,Gardenmore,N08000820
,,,,The Maidens,N08000837
,,Braid,N10000803,Ballee and Harryville,N08000804
,,,,Broughshane,N08000809
,,,,Glenravel,N08000821
,,,,Glenwhirry,N08000822
,,,,Kells,N08000827
,,,,Kirkinriola,N08000830
,,,,Slemish,N08000835
,,Ballymena,N10000801,Academy,N08000801
,,,,Ardeevin,N08000803
,,,,Ballykeel,N08000806
,,,,Braidwater,N08000808
,,,,Castle Demesne,N08000814
,,,,Fair Green,N08000818
,,,,Park,N08000833
,,Bannside,N10000802,Ahoghill,N08000802
,,,,Cullybackey,N08000816
,,,,Galgorm,N08000819
,,,,Grange,N08000824
,,,,Maine,N08000832
,,,,Portglenone,N08000834
Mid Ulster,N09000009,Carntogher,N10000901,Lower Glenshane,N08000926
,,,,Maghera,N08000927
,,,,Swatragh,N08000934
,,,,Tamlaght O’Crilly,N08000935
,,,,Valley,N08000939
,,Moyola,N10000906,Ballymaguigan,N08000905
,,,,Bellaghy,N08000907
,,,,Castledawson,N08000910
,,,,Draperstown,N08000919
,,,,Tobermore,N08000937
,,Magherafelt,N10000905,Coolshinny,N08000917
,,,,Glebe,N08000921
,,,,Lissan,N08000924
,,,,The Loup,N08000936
,,,,Town Parks East,N08000938
,,Cookstown,N10000903,Coagh,N08000911
,,,,Cookstown East,N08000914
,,,,Cookstown South,N08000915
,,,,Cookstown West,N08000916
,,,,Loughry,N08000925
,,,,Oaklands,N08000931
,,,,Pomeroy,N08000932
,,Torrent,N10000907,Ardboe,N08000901
,,,,Coalisland North,N08000912
,,,,Coalisland South,N08000913
,,,,Donaghmore,N08000918
,,,,Stewartstown,N08000933
,,,,Washing Bay,N08000940
,,Dungannon,N10000904,Ballysaggart,N08000906
,,,,Killyman,N08000922
,,,,Killymeal,N08000923
,,,,Moy,N08000928
,,,,Moygashel,N08000929
,,,,Mullaghmore,N08000930
,,Clogher Valley,N10000902,Augher and Clogher,N08000902
,,,,Aughnacloy,N08000903
,,,,Ballygawley,N08000904
,,,,Caledon,N08000908
,,,,Castlecaulfield,N08000909
,,,,Fivemiletown,N08000920
"Newry, Mourne and Down",N09000010,Slieve Gullion,N10001006,Bessbrook,N08001007
,,,,Camlough,N08001010
,,,,Crossmaglen,N08001014
,,,,Forkhill,N08001023
,,,,Mullaghbane,N08001031
,,,,Newtownhamilton,N08001033
,,,,Whitecross,N08001041
,,Newry,N10001003,Abbey,N08001001
,,,,Ballybot,N08001003
,,,,Damolly,N08001015
,,,,Drumalane,N08001019
,,,,Fathom,N08001022
,,,,St. Patrick’s,N08001037
